,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
map_adress,name,type,address_1,address_2,country,website,phone_number,rating,place_tags,reviews_count,image,image_source
,"Click Compétences Formations Excel, Bureautique, Photoshop, Graphisme, Wordpress, Informatique, Python, Sketchup, Autocad.",,366 Rue de Vaugirard,75015 Paris,France,https://clic-competences.fr/,+33 1 84 60 51 77,4.9,,30,,https://lh5.googleusercontent.com/p/AF1QipPeGxJuBf4Dv3MkKtD1ACzkbzkLYmdW_7q1gHwK
,"Training Trading Paris, During Trading À Paris - France Trading",,1 Pl. de la République,75003 Paris,France,https://formation-trading-paris.com/,+33 1 48 87 82 36,4.9,,68,,https://lh5.googleusercontent.com/p/AF1QipN7_1Ja15N1vbDNntuT-9YfTwxkrcXiITbuRV_v
,Institute Culinary De Paris,,63 Bd de Ménilmontant,75011 Paris,France,http://www.institut-culinaire-de-paris.fr/,+33 1 84 81 00 20,4.9,,46,,https://lh5.googleusercontent.com/p/AF1QipMIZTLpBfKQN_wpFeyisL6b0cSjfoXdDvKP63Gq
,"Training Bureautique Paris | Officium | Formation Word, Excel, Powerpoint, Pack Office",,26 Rue Montorgueil,75001 Paris,France,https://www.centre-formation-bureautique.com/,+33 9 83 47 27 47,4.9,,12,,https://lh5.googleusercontent.com/p/AF1QipNkxqG10YreCNGaP9aP0yuadyvUO9cBmIj7SjU-
,Cfpp Planchat Vocational Training Center Pharmacy,,59 Rue Planchat,75020 Paris,France,https://cfpp.org/,+33 1 43 56 30 30,3.6,,96,,https://lh5.googleusercontent.com/p/AF1QipOf_kzqVLGygiQWCp6BhBntRgdJxVjdnWeK6E0
,Le Wagon,,16 Vla Gaudelet,75011 Paris,France,https://www.lewagon.com/fr/paris?utm_source=google&utm_medium=google-my-business,+33 7 57 90 10 75,4.8,,97,,https://lh5.googleusercontent.com/p/AF1QipMXyUyh7Qj6IAalBXxvH0CJlLItpNIIA2gYOe79
,Intercountry | Language Training Centre,,45 Rue d'Aboukir,75002 Paris,France,https://www.intercountry.com/,+33 1 44 55 38 31,4.8,,625,,https://lh5.googleusercontent.com/p/AF1QipN2FovxSt4Fy725SgtKCCe3zTG-6gHcD07krjki
,Esf Formation,,65 Rue d'Hautpoul,75019 Paris,France,https://formation-esf.fr/,+33 1 42 49 02 22,4,,4,,https://lh5.googleusercontent.com/p/AF1QipM-grFM8OgkCBsSjzzq0uLwh37bk-aY_6zNo8x8
,G4 PARIS Institute,,30 R. de Turbigo,75003 Paris,France,http://www.institut-g4.fr/,+33 1 84 16 20 10,4.6,,14,,https://lh5.googleusercontent.com/p/AF1QipM3fBeqD2IzKMgOtq7LwkM8FaJ7KLqJVSTHZkZA
,ICI Formations,,11 Rue Galvani,75017 Paris,France,http://www.iciformation.fr/,+33 1 88 80 80 00,4.2,,5,,https://lh5.googleusercontent.com/p/AF1QipP5TxCQsUmqZtkhEBCHP-D-DVJ4-4o9GejFF0wL
"https://www.google.com/maps/search/centre+de+formation+lyon/@45.9839313,5.0349297,9z/data=!3m1!4b1?entry=ttu",Training Center International,jsonata,23 Rue Renan,69007 Lyon,,,04 37 70 59 73,,,,,
,Platinium Formation,,24 Rue Domer,69007 Lyon,,/url?q=http://www.platiniumformation.com/&opi=79508299&sa=U&ved=0ahUKEwjt5JjGxoOFAxV6RKQEHd_QDmAQ61gILCgN&usg=AOvVaw1VCN6W9SsJ3HXxd-heSyyB,04 37 28 09 10,4.9,,23,,https://lh5.googleusercontent.com/p/AF1QipM0HljHbWdKZvThtP1iQLafGp_xbdOMMsT1J--1
,Lyon Formations,,1 Pl. Gensoul,69002 Lyon,,/url?q=http://www.lyonformation.com/&opi=79508299&sa=U&ved=0ahUKEwjt5JjGxoOFAxV6RKQEHd_QDmAQ61gIUygN&usg=AOvVaw0noobM-f8rkA-5Sx24hIJm,04 78 38 20 31,4.5,,10,,https://lh5.googleusercontent.com/p/AF1QipOTzemwhcgyRIPJhknaokKttkEN2XVuEqfp7-0-
,Training Center Orgaly Lyon,,5 Quai Rambaud,69002 Lyon,,/url?q=https://www.orgaly.fr/&opi=79508299&sa=U&ved=0ahUKEwjt5JjGxoOFAxV6RKQEHd_QDmAQ61gIeSgN&usg=AOvVaw0NySm9mZUunoByhSeapAoi,04 28 29 01 29,4.7,,25,,
,Point F Training Center Lyon,,Héron Building,26 Av. René Cassin,69009 Lyon,/url?q=http://www.pointf.fr/&opi=79508299&sa=U&ved=0ahUKEwjt5JjGxoOFAxV6RKQEHd_QDmAQ61gIoAEoDw&usg=AOvVaw22kMDy4z666rzRP-Veux_1,04 78 83 39 08,3.7,,3,,https://lh5.googleusercontent.com/p/AF1QipOL9Ok3zDXmotOT-j-L4aKLDXmsz6Wb-y0Je9eE
,Training Hqe Lyon,,Formation partout en France - groupe ACP,Lyon,69000 Lyon,/url?q=http://www.stageup.fr/&opi=79508299&sa=U&ved=0ahUKEwjt5JjGxoOFAxV6RKQEHd_QDmAQ61gIuwEoDg&usg=AOvVaw1DOc69-45z36uWCUCEKfGe,06 26 26 13 13,,,,,https://lh5.googleusercontent.com/p/AF1QipO5A_RHI8txptTp7xgSe3wbCUJzhscM4OEKSFij
,Greta Lyon Metropole,,GRETA CFA Lyon Métropole,41 Rue Antoine Lumière,69008 Lyon,/url?q=https://greta-cfa.ac-lyon.fr/greta/greta-cfa-lyon-metropole&opi=79508299&sa=U&ved=0ahUKEwjt5JjGxoOFAxV6RKQEHd_QDmAQ61gI2AEoDw&usg=AOvVaw3IL1oCOyAdFaVR_0nrrfwf,04 78 78 84 84,3.1,,58,,
,Dowe Formation Lyon - Lsf,,4 Rue de la République,69002 Lyon,,,,5,,1,,https://lh5.googleusercontent.com/p/AF1QipMMBabZkfui3-GqbDF5OpZoCAtXjHcV8SHM_sNH
,Cirfap,,10 Bd Edmond Michelet,69008 Lyon,,/url?q=https://www.polyvia-formation.fr/&opi=79508299&sa=U&ved=0ahUKEwjt5JjGxoOFAxV6RKQEHd_QDmAQ61gIkwIoDQ&usg=AOvVaw17Hu2hRVqU8wY9QlMktORV,09 71 00 99 54,4.5,,21,,
,Copernic Formation Lyon,,,,,,06 51 45 04 66,3.7,,3,,
,Training De Lyon,,12 Rue Professeur Weill,69006 Lyon,,/url?q=http://www.formation-de-lyon.fr/&opi=79508299&sa=U&ved=0ahUKEwjt5JjGxoOFAxV6RKQEHd_QDmAQ61gIxwIoDQ&usg=AOvVaw2-tYQKY-FEZaR7qxWWQTYE,04 81 07 00 29,5,,1,,https://lh5.googleusercontent.com/p/AF1QipO8-3D-aRmjFGNw94Ws-aSRUaG6sPm21DGI-jTY
,Igs Formation Continue Lyon,,7-9 Rue Jean-Marie Leclair,69009 Lyon,,/url?q=https://www.formationcontinue.groupe-igs.fr/campus/groupe-igs-formation-continue-lyon&opi=79508299&sa=U&ved=0ahUKEwjt5JjGxoOFAxV6RKQEHd_QDmAQ61gI7AIoDQ&usg=AOvVaw0jB7H-7B-XBNaLONSnmvAc,04 51 42 10 98,5,,1,,
,Cfai de L'afpm,,10 Bd Edmond Michelet,69008 Lyon,,/url?q=https://www.iri-lyon.com/&opi=79508299&sa=U&ved=0ahUKEwjt5JjGxoOFAxV6RKQEHd_QDmAQ61gIiQMoDQ&usg=AOvVaw0VoGubbmO5EPY-h_bRU6oL,04 78 77 05 00,4.1,,125,,https://lh5.googleusercontent.com/p/AF1QipM8w8JgGzTC5n1Ngd5vaZP4Dqx6KP7nT3BPgaY3
